Date,Plant,CalculatedDate,Version,Value,DateTime
2021-12-11,Iona Island,2021/12/11,4,4170,2021-12-11T08:00:00Z
2021-12-13,Iona Island,2021/12/13,4,8495,2021-12-13T08:00:00Z
2021-12-15,Iona Island,2021/12/15,4,14405,2021-12-15T08:00:00Z
2021-12-18,Iona Island,2021/12/18,4,13614,2021-12-18T08:00:00Z
2021-12-20,Iona Island,2021/12/20,4,40060,2021-12-20T08:00:00Z
2022-01-05,Iona Island,2022/01/05,4,332835,2022-01-05T08:00:00Z
2022-01-06,Iona Island,2022/01/06,4,180645,2022-01-06T08:00:00Z
2022-01-07,Iona Island,2022/01/07,4,102105,2022-01-07T08:00:00Z
2022-01-08,Iona Island,2022/01/08,4,142928,2022-01-08T08:00:00Z
2022-01-10,Iona Island,2022/01/10,2,184489,2022-01-10T08:00:00Z
2022-01-12,Iona Island,2022/01/12,5,63706,2022-01-12T08:00:00Z
2022-01-15,Iona Island,2022/01/15,3,212782,2022-01-15T08:00:00Z
2020-09-27,Lions Gate,2020/09/27,6,946,2020-09-27T09:00:00Z
2020-10-04,Lions Gate,2020/10/04,6,1216,2020-10-04T09:00:00Z
2020-10-11,Lions Gate,2020/10/11,6,4612,2020-10-11T09:00:00Z
2020-10-18,Lions Gate,2020/10/18,6,3507,2020-10-18T09:00:00Z
2020-10-25,Lions Gate,2020/10/25,8,0,2020-10-25T09:00:00Z
2020-11-01,Lions Gate,2020/11/01,8,0,2020-11-01T07:00:00Z
2020-11-08,Lions Gate,2020/11/08,10,2892,2020-11-08T08:00:00Z
2020-11-15,Lions Gate,2020/11/15,8,0,2020-11-15T08:00:00Z
2020-11-22,Lions Gate,2020/11/22,7,923,2020-11-22T08:00:00Z
2020-11-29,Lions Gate,2020/11/29,7,3162,2020-11-29T08:00:00Z
2020-12-06,Lions Gate,2020/12/06,7,2140,2020-12-06T08:00:00Z
2020-12-13,Lions Gate,2020/12/13,7,4314,2020-12-13T08:00:00Z
2020-12-20,Lions Gate,2020/12/20,3,0,2020-12-20T08:00:00Z
2020-12-27,Lions Gate,2020/12/27,2,0,2020-12-27T08:00:00Z
2021-01-03,Lions Gate,2021/01/03,2,0,2021-01-03T08:00:00Z
2021-01-10,Lions Gate,2021/01/10,4,5448,2021-01-10T08:00:00Z
2021-01-17,Lions Gate,2021/01/17,4,2919,2021-01-17T08:00:00Z
2021-01-24,Lions Gate,2021/01/24,4,4840,2021-01-24T08:00:00Z
2021-01-31,Lions Gate,2021/01/31,4,5357,2021-01-31T08:00:00Z
2021-02-07,Lions Gate,2021/02/07,5,7094,2021-02-07T08:00:00Z
2021-02-14,Lions Gate,2021/02/14,3,5505,2021-02-14T08:00:00Z
2021-02-21,Lions Gate,2021/02/21,3,4822,2021-02-21T08:00:00Z
2021-02-28,Lions Gate,2021/02/28,4,6639,2021-02-28T08:00:00Z
2021-03-07,Lions Gate,2021/03/07,3,7974,2021-03-07T08:00:00Z
2021-03-14,Lions Gate,2021/03/14,4,3567,2021-03-14T08:00:00Z
2021-03-21,Lions Gate,2021/03/21,1,20831,2021-03-21T07:00:00Z
2021-03-28,Lions Gate,2021/03/28,4,18234,2021-03-28T07:00:00Z
2021-04-04,Lions Gate,2021/04/04,1,20833,2021-04-04T07:00:00Z
2021-04-11,Lions Gate,2021/04/11,1,24755,2021-04-11T07:00:00Z
2021-04-18,Lions Gate,2021/04/18,1,14854,2021-04-18T07:00:00Z
2021-04-25,Lions Gate,2021/04/25,1,8913,2021-04-25T07:00:00Z
2021-05-02,Lions Gate,2021/05/02,4,7372,2021-05-02T07:00:00Z
2021-05-09,Lions Gate,2021/05/09,5,13098,2021-05-09T07:00:00Z
2021-05-16,Lions Gate,2021/05/16,5,4026,2021-05-16T07:00:00Z
2021-05-23,Lions Gate,2021/05/23,6,2864,2021-05-23T07:00:00Z
2021-05-30,Lions Gate,2021/05/30,4,3779,2021-05-30T07:00:00Z
2021-06-06,Lions Gate,2021/06/06,4,4057,2021-06-06T07:00:00Z
2021-06-13,Lions Gate,2021/06/13,4,3926,2021-06-13T07:00:00Z
2021-06-20,Lions Gate,2021/06/20,4,1805,2021-06-20T07:00:00Z
2021-06-27,Lions Gate,2021/06/27,1,1138,2021-06-27T07:00:00Z
2021-07-04,Lions Gate,2021/07/04,4,1239,2021-07-04T07:00:00Z
2021-07-11,Lions Gate,2021/07/11,4,1920,2021-07-11T07:00:00Z
